geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete,Week
National,,,All,2009-10,201027,3,3215,3218,45580,7.060114085,95.79755987,
National,,,All,2009-10,200952,47,4310,4357,49617,8.781264486,104.2823065,
National,,,All,2009-10,200941,174,3703,3877,46453,8.346070222,97.6323837,
National,,,All,2009-10,201032,5,2928,2933,44400,6.605855856,93.31750018,
National,,,All,2009-10,201019,4,3464,3468,46362,7.480264009,97.44112485,
National,,,All,2009-10,201039,6,3215,3221,45260,7.116659302,95.12500131,
National,,,All,2009-10,201018,8,3530,3538,46264,7.647414837,97.2351538,
National,,,All,2009-10,201007,23,4236,4259,50484,8.436336265,106.1045198,
National,,,All,2009-10,201004,29,4072,4101,48443,8.465619388,101.8148572,
National,,,All,2009-10,201008,30,4291,4321,50193,8.608770147,105.4929119,
National,,,All,2009-10,201013,28,3986,4014,48795,8.22625269,102.5546717,
National,,,All,2009-10,201033,3,3010,3013,44358,6.792461337,93.22922687,
National,,,All,2009-10,201005,27,4085,4112,49079,8.378328817,103.1515674,
National,,,All,2009-10,201038,1,3100,3101,45104,6.87522171,94.79712902,
National,,,All,2009-10,201028,5,3115,3120,44853,6.956056451,94.2695909,
National,,,All,2009-10,201037,4,3189,3193,45200,7.064159292,94.99889658,
National,,,All,2009-10,201003,28,4314,4342,49912,8.699310787,104.9023214,
National,,,All,2009-10,201016,9,3569,3578,46620,7.674817675,97.98337519,
National,,,All,2009-10,200945,265,3929,4194,47314,8.864183963,99.44198657,
National,,,All,2009-10,201036,3,3168,3171,44813,7.076071676,94.18552108,
National,,,All,2009-10,201021,2,3251,3253,45488,7.151336616,95.60419929,
National,,,All,2009-10,200946,208,3721,3929,46527,8.444559073,97.78791286,
National,,,All,2009-10,200949,105,3982,4087,49304,8.289388285,103.6244601,
National,,,All,2009-10,201029,3,3093,3096,44628,6.93734875,93.79669816,
National,,,All,2009-10,201026,4,3141,3145,44629,7.046987385,93.7987999,
National,,,All,2009-10,201011,29,4236,4265,49270,8.656383195,103.5530008,
National,,,All,2009-10,201006,38,4128,4166,50120,8.312051077,105.3394844,
National,,,All,2009-10,201025,3,3143,3146,44631,7.048912191,93.80300339,
National,,,All,2009-10,201023,5,3304,3309,44968,7.358566091,94.51129163,
National,,,All,2009-10,200951,63,3838,3901,49105,7.944201202,103.2062128,
National,,,All,2009-10,201030,3,2956,2959,44281,6.682324247,93.06739247,
National,,,All,2009-10,201010,30,4377,4407,50219,8.775563034,105.5475573,
National,,,All,2009-10,201024,2,3173,3175,45140,7.033673017,94.87279185,
National,,,All,2009-10,201015,13,3730,3743,47102,7.946584009,98.99641652,
National,,,All,2009-10,201035,2,3048,3050,44287,6.886896832,93.08000294,
National,,,All,2009-10,201009,28,4342,4370,50345,8.68010726,105.8123772,
National,,,All,2009-10,200943,295,3762,4057,46432,8.737508615,97.58824704,
National,,,All,2009-10,201014,14,3983,3997,47769,8.367351211,100.3982808,
National,,,All,2009-10,201017,7,3605,3612,46319,7.798095814,97.3507498,
National,,,All,2009-10,201012,25,4081,4106,48294,8.502091357,101.5016972,
National,,,All,2009-10,201034,2,2894,2896,44320,6.534296029,93.14936054,
